country_name,channel_title,videos,views
Japan,きまぐれクックKimagure Cook,22,1649431.6363636365
Japan,Johnny's official,22,728336.1363636364
France,Dr Nozman,22,824123.0
France,BLACKPINK,21,31680926.0
USA,SMTOWN,21,17091441.0
India,Funcho,21,869803.5714285715
India,Geet MP3,21,10136517.42857143
Brazil,FLAZOEIRO,21,377735.0
Japan,しばなんといっしょ!,21,889604.0476190476
Germany,Das große Backen,21,140124.52380952382
S Korea,SMTOWN,21,19840922.333333332
UK,SPFL,21,134462.33333333334
India,Aditya Music,21,5919003.619047619
Canada,Dude Perfect,21,11073029.0
USA,Dude Perfect,21,11252308.714285715
Brazil,Vasco TV,21,126986.23809523809
India,White Hill Music,21,9220357.19047619
India,Dipika Ki Duniya,21,1550446.5238095238
S Korea,미스&미스터트롯 공식계정,21,830019.380952381
Japan,はじめしゃちょー（hajime）,21,2467470.4285714286
UK,Serie A,21,5273448.80952381
Japan,QuizKnock,21,809601.9523809524
Germany,Gewitter im Kopf - Leben mit Tourette,21,664099.0
France,Nota Bene,21,350450.28571428574
Germany,Miniatur Wunderland,21,196467.66666666666
India,Village Cooking Channel,21,4395298.0
Germany,Sportschau,21,271868.2380952381
S Korea,BLACKPINK,21,33247403.76190476
UK,LaLiga Santander,21,1776340.9047619049
Brazil,NBA Brasil,21,214279.7142857143
Germany,DER SPIEGEL,21,1065587.8095238095
India,Priyanka Deshpande,21,1202966.8095238095
Japan,Snow Man,21,1768455.0
Canada,FORMULA 1,21,2935256.0
Mexico,BANGTANTV,21,11953105.38095238
India,Araathi,20,1246075.6
Germany,BWF TV,20,103734.8
S Korea,KBS News,20,1090373.3
S Korea,Mnet K-POP,20,2393093.15
India,DIY Queen,20,711508.85
USA,The Game Theorists,20,3583659.15
Canada,SMTOWN,20,17450307.1
UK,MrBeast Gaming,20,12328087.4
S Korea,엠뚜루마뚜루 : MBC 공식 종합 채널,20,1680320.85
Germany,FC Schalke 04,20,126311.7
India,Half Engineer,20,693023.5
India,Doordarshan National,20,1453576.35
France,Vilebrequin,20,770104.75
Germany,Mamiseelen,20,470624.35
USA,Skip and Shannon: UNDISPUTED,20,961203.9
S Korea,JTBC Voyage,20,3118057.6
UK,Dude Perfect,20,11006734.85
Japan,NiziU Official,20,1465342.35
USA,Fortnite,20,3484118.2
UK,SMTOWN,20,17621531.75
Brazil,Minhas Plantas,20,173219.9
Japan,THE PAGE（ザ・ページ）,20,207964.3
Canada,The Try Guys,20,2002128.2
Germany,Fritz Meinecke,20,464767.95
India,Sibbu Giri,20,1600570.35
Japan,ジェルOfficial,20,1321265.95
India,Tanmay Bhat,20,1310452.2
Canada,beIN SPORTS USA,20,877394.45
Germany,CrispyRob,20,377200.85
Japan,かす,20,603427.15
Germany,Borussia Dortmund,20,283917.35
Brazil,Virgínia Fonseca,20,3443233.3
S Korea,M2,20,1937391.2
Germany,Team Harrison,20,762912.95
Japan,もちまる日記,20,1033780.4
Brazil,Flow Podcast,20,885550.4
Germany,The Masked Singer,20,264425.1
Japan,東映特撮YouTube Official,20,705864.4
France,Tibo InShape,20,2238279.6
Brazil,MK MUSIC,20,588232.65
UK,James Charles,20,10021907.85
Brazil,Você Sabia?,20,2472922.35
India,Kapil Sharma,19,2277121.5263157897
France,Depielo,19,96788.0
Germany,Joey's Jungle,19,682733.8421052631
Germany,BANGTANTV,19,9625110.789473685
France,Morgan VS,19,688887.4736842106
S Korea,시즌비시즌 Season B Season,19,2299370.210526316
France,Mcfly et Carlito,19,4918479.157894737
Germany,DFB,19,256977.68421052632
Japan,UNIVERSAL MUSIC JAPAN,19,772839.947368421
Mexico,Kenia Os,19,877366.8421052631
India,Parithabangal,19,1961131.6842105263
France,Neoxi,19,632354.5789473684
India,Desi Music Factory,19,19098955.157894738
S Korea,NCT,19,3445486.1052631577
UK,BBC News,19,1077340.2105263157
Canada,The Game Theorists,19,3628811.4210526315
Brazil,Netflix Brasil,19,642636.1052631579
USA,Marvel Entertainment,19,5780780.47368421
S Korea,tvN D ENT,19,1191732.1578947369
UK,ITV Sport,19,212455.63157894736
France,Juju Fitcats,19,1486350.5789473683
Mexico,Distrito Comedia,19,2391746.8947368423
Japan,あめんぼぷらす,19,484914.5789473684
Germany,DIE WG,19,218618.31578947368
UK,Tom Scott,19,1129871.1578947369
India,Mallu Traveler,19,851916.2631578947
S Korea,승우아빠,19,1417235.7368421052
S Korea,YTN news,19,1627451.3157894737
India,Gringo Entertainments,19,5515695.421052632
S Korea,dingo freestyle,19,1168908.4210526317
India,Star Maa Music,19,2060427.7894736843
India,Serie A,19,5285688.736842105
France,AstronoGeek,19,173895.57894736843
UK,Miniminter,19,1552994.4736842106
Canada,BWF TV,19,113359.42105263157
France,BWF TV,19,61058.21052631579
France,Touche pas à mon poste !,19,237678.31578947368
India,RVCJ Media,19,1630102.6315789474
Japan,宮迫ですッ!【宮迫博之】,19,1456200.5789473683
France,Valouzz,19,1076241.7894736843
Japan,仲里依紗です。,19,1303900.1578947369
Germany,selfiesandra,19,135925.2105263158
Germany,Marius Angeschrien,19,312351.3157894737
S Korea,문명특급 - MMTG,19,1389385.4736842106
Japan,フェルミ研究所 FermiLab,19,671004.8421052631
UK,BT Sport Boxing,19,1289326.3157894737
India,Hasley India,19,881539.7894736842
India,etvteluguindia,19,2098296.6842105263
France,Lucas Studio,18,705930.4444444445
Japan,M-1グランプリ,18,947305.5
India,Tips Official,18,9256456.555555556
USA,The Try Guys,18,2127231.4444444445
Germany,FC Bayern München,18,427230.1111111111
USA,First We Feast,18,1946410.6666666667
France,FORMULA 1,18,2857089.277777778
Japan,佐藤 健 / Satoh Takeru,18,799390.7777777778
Japan,エミリンチャンネル,18,1362966.2222222222
France,Pierre Croce Volume 2,18,403186.3888888889
Canada,Keeping Up With The Kardashians,18,981332.4444444445
India,Mr & Mrs Chauhan,18,1647685.2222222222
India,This is sumesh,18,636321.2777777778
Japan,タナカガ,18,409914.5
Brazil,BetinGamer,18,188996.55555555556
Germany,385idéal,18,385008.1111111111
Japan,ヴァンゆんチャンネル【VAMYUN】,18,1344255.0
Japan,KAI Channel / 朝倉海,18,1227452.0555555555
France,Guillaume Pley,18,351446.1666666667
S Korea,SBS Drama,18,1331080.3333333333
France,GIMS,18,979567.3333333334
Canada,Big Hit Labels,18,35423107.166666664
Canada,First We Feast,18,1886621.111111111
UK,NASASpaceflight,18,728956.2222222222
Japan,ポケモン公式YouTubeチャンネル,18,1803930.0
Brazil,Franciny Ehlke,18,1247653.8333333333
India,Samreen Ali,18,952618.6111111111
Japan,my channel【白石麻衣 公式】,18,1510380.5
Japan,BANDAI NAMCO Arts Channel,18,1555610.7222222222
France,LeHuffPost,18,597072.5555555555
S Korea,이지금 [IU Official],18,1550828.0
Germany,Anne Wünsche,18,133933.44444444444
Russia,Mnet K-POP,18,1993497.111111111
Mexico,Sandra Cires Art,18,2766885.388888889
Canada,Marvel Entertainment,18,6097571.388888889
Mexico,Serie A,18,4794794.0
India,Zee Music Company,18,14054888.666666666
Japan,カジサック KAJISAC,18,965734.2222222222
Brazil,Gusttavo Lima Oficial,18,9081857.333333334
Brazil,Léo Léo,18,3848855.0
Brazil,BRKsEDU,18,618521.6666666666
France,MATH,18,651336.5
France,Trash,18,657578.0
Canada,SQUEEZIE,18,4550875.5
Germany,WUMMS,18,279921.6666666667
Mexico,JYP Entertainment,18,17730974.222222224
Mexico,Plech,18,1717919.7777777778
Mexico,Coreano Vlogs,18,727778.3888888889
Brazil,Corinthians TV,18,334657.6666666667
Japan,/谷やん谷崎鷹人,18,1270313.8333333333
Germany,Late Night Berlin,18,606395.8888888889
India,Kaasko,18,537346.0555555555
Japan,まあたその「ほぼメインチャンネル」,18,832263.4444444445
Germany,Jindaouis,18,634761.3333333334
France,Emy LTR,18,326768.22222222225
Brazil,Manual do Mundo,18,1310577.111111111
France,Lolywood,18,762063.2222222222
Germany,ZDFheute Nachrichten,18,261719.77777777778
Russia,UFC - Ultimate Fighting Championship,18,1314882.1666666667
Germany,Dude Perfect,18,10376531.944444444
Japan,スマイリー,18,745902.1111111111
France,Camille LV,18,540978.1666666666
Canada,James Charles,18,10577928.111111112
Germany,The Real Life Guys,17,455265.1176470588
Japan,Mnet K-POP,17,3161109.7647058824
UK,Marvel Entertainment,17,6179225.05882353
Canada,The Late Show with Stephen Colbert,17,1223924.4705882352
S Korea,와썹맨-Wassup Man,17,1051827.8823529412
S Korea,엔조이커플enjoycouple,17,840806.9411764706
Mexico,LIGA BBVA MX,17,603678.3529411765
S Korea,STUDIO CHOOM [스튜디오 춤],17,2542773.8235294116
Germany,The Voice Kids,17,371551.4117647059
Germany,The Voice of Germany - Offiziell,17,465485.23529411765
Brazil,Ei Nerd,17,1349655.4705882352
Germany,Phil Laude,17,307633.82352941175
Canada,NASA,17,2887652.2352941176
Canada,Apex Legends,17,3533159.411764706
Canada,Tom Scott,17,1179648.0
USA,Dixie D'Amelio,17,7449007.823529412
France,gaelle garcia diaz,17,877024.6470588235
Brazil,Coisa de Nerd,17,1067640.5882352942
