country_name,category_title,comments,likes,views
USA,Autos & Vehicles,4419698,45456722.0,1552472660.0
USA,Comedy,45094569,495651393.0,8653718256.0
USA,Education,12498866,127237002.0,2392525774.0
USA,Entertainment,196246148,1934612096.0,44670460434.0
USA,Film & Animation,35350551,353040910.0,10951230653.0
USA,Gaming,96389731,902259238.0,17819761993.0
USA,Howto & Style,35846253,298704100.0,6997703686.0
USA,Music,505299287,4495196175.0,85304709036.0
USA,News & Politics,20304751,64642491.0,4784766463.0
USA,Nonprofits & Activism,4927011,15695557.0,187841921.0
USA,People & Blogs,68980767,727119094.0,14014129013.0
USA,Pets & Animals,4035026,35920484.0,1125882937.0
USA,Science & Technology,27425873,282829569.0,9070717921.0
USA,Shows,95117,1082639.0,51501058.0
USA,Sports,35584477,327886794.0,15157174424.0
USA,Travel & Events,1402531,9087588.0,440623995.0
