country_name,channel_title,videos,views
Russia,Уральские Пельмени,89,328832.67415730335
India,Black Sheep,88,304739.9772727273
Germany,KenFM,88,21291.80681818182
India,Sun TV,88,1582702.7727272727
Canada,WWE,88,1761722.375
Canada,Philip DeFranco,88,1230691.0113636365
Mexico,Historias Wink,88,16366.261363636364
France,The Daily Show with Trevor Noah,87,826513.6091954022
Japan,釣りよかでしょう。,87,222046.908045977
Germany,Troom Troom De,87,131676.5287356322
Germany,Elif Dizisi,87,41935.85057471264
Russia,Ксения Собчак,87,517787.2988505747
Canada,Vox,87,704209.4252873564
Mexico,Andrés Manuel López Obrador,87,536529.5862068966
Germany,Çukur,87,1412977.9310344828
S Korea,황장수의 뉴스브리핑o,87,85276.62068965517
Mexico,El Chapucero,86,49694.441860465115
S Korea,프란,85,102179.15294117646
Mexico,Oraciones Diarias con Amor,85,43177.85882352941
Mexico,Chacaleo. Com,85,74114.72941176471
France,Topito,85,315527.0470588235
France,Ça commence aujourd'hui,85,43186.611764705885
Canada,Good Mythical MORE,85,185946.1294117647
USA,TheEllenShow,85,1319944.2705882352
Russia,Adını Sen Koy,85,242160.58823529413
Russia,Политика сегодня: Россия США Украина,84,417151.21428571426
S Korea,tbs 시민의 방송,84,156012.15476190476
Russia,Виндяй,84,315023.03571428574
Mexico,Pepe En Vivo,84,11576.82142857143
Canada,Unbox Therapy,84,1889533.7142857143
Russia,AdMe.ru - Сайт о творчестве,84,82710.21428571429
Russia,Независимый Эксперт,84,140339.14285714287
India,Aaj Tak,84,538622.0238095238
Russia,Грильков,83,84919.8795180723
Germany,Made My Day,83,153323.93975903615
France,PanArmenian TV,83,91702.60240963855
Russia,atv,83,438921.4096385542
Russia,Готовим с Ириной Хлебниковой,83,38071.2891566265
India,Mahendra Guru : Online Videos For Govt. Exams,83,39375.3734939759
Russia,Ազատություն,83,378605.0361445783
Russia,Школа Таро. Консультации Golden Charm,83,9312.783132530121
S Korea,밴쯔,83,333814.5180722892
India,Kabaddi365.com,83,192886.8795180723
Germany,WWE,82,1971806.3048780488
India,zeekannada,82,60704.45121951219
Japan,DHCテレビ,82,143288.89024390245
Mexico,Luisito Comunica,82,3614854.1829268294
Mexico,Tele Avances,82,31950.121951219513
Russia,Умные люди,82,36497.70731707317
Canada,Raffy Tulfo in Action,82,130758.30487804877
India,Flowers TV,81,201512.1234567901
France,BIZBIZ,81,60903.16049382716
Russia,Редакция,81,897746.5679012346
Russia,Татьяна Бугрий,81,69403.82716049382
Russia,Во саду ли в огороде,81,35131.567901234564
Mexico,BTS y Más,81,56877.2962962963
Mexico,Resumenes FUT,81,708621.4814814815
Mexico,JuegaGerman,81,1974014.024691358
Canada,The Tonight Show Starring Jimmy Fallon,80,2006981.2625
Germany,Kick11,80,186755.8875
India,TV9 Telugu,80,385021.5125
India,Zee Tamil,80,683281.2125
Russia,Lesha Maisak,80,1018882.325
USA,The Tonight Show Starring Jimmy Fallon,80,1820706.9125
France,Les News,79,49535.354430379746
France,Un gars une fille | Officiel,79,63875.0253164557
France,Okay.africa,79,263096.60759493674
Mexico,Marca Claro,79,437250.93670886074
Germany,Good Mythical Morning,79,460725.5316455696
India,T-Series Apna Punjab,79,2680846.9620253164
S Korea,뉴스데일리베스트,79,85892.25316455697
France,SYMPA,78,32226.01282051282
Russia,ATV Cinema,78,24723.82051282051
S Korea,최고다윽박,78,337859.1666666667
Russia,24 SOAT TV,78,50142.192307692305
Russia,Прямой эфир,77,359224.85714285716
S Korea,조갑제TV,77,63127.02597402597
France,CNEWS,77,43514.35064935065
Canada,BuzzFeedVideo,77,1621139.1948051949
S Korea,o 황장수의 뉴스브리핑,77,64138.37662337662
S Korea,시대정신,77,73653.02597402598
France,Lolywood,77,860580.1168831169
India,Aditya Music,77,2394129.935064935
Canada,Lama Faché,77,269410.5324675325
France,Poisson Fécond,76,586621.4868421053
Mexico,VIDEOS VIRALES,76,109898.43421052632
Canada,PowerfulJRE,76,667035.5
Mexico,Lord Fer LEE,76,31114.144736842107
France,Booska-P.com,76,266881.2368421053
Germany,Philip DeFranco,76,1186678.4078947369
France,LeGossipTube,76,30711.723684210527
Canada,Marodi TV Sénégal,76,310417.5
Germany,LUKE! Die Woche und ich,75,279288.2
Germany,Lets-Bastel,75,36931.706666666665
Canada,Jimmy Kimmel Live,75,1427033.2533333334
India,The Late Show with Stephen Colbert,75,1311919.7733333334
Russia,German *El Classico*,75,342872.68
Mexico,Oraciones en video,75,140714.96
Russia,Алена Митрофанова,74,62560.01351351351
Germany,Late Night with Seth Meyers,74,1259035.7027027027
Mexico,24 Noticias - JUCA,74,69091.02702702703
India,Speed Records,74,5282261.297297297
France,Chouftv - شوف تيفي,74,312867.6081081081
Mexico,Aristegui Noticias,74,62499.17567567567
Mexico,anzu361,74,133918.36486486485
Canada,CollegeHumor,74,591099.5675675676
Russia,Телеканал ТНТ,74,1206635.0945945946
Russia,VOVA KESS,74,195847.83783783784
USA,Jimmy Kimmel Live,73,1440307.3424657534
India,Polimer News,73,286963.397260274
Germany,SET India,73,124783.17808219178
Germany,Rocket Beans TV,73,45294.71232876712
Canada,SciShow,72,177902.83333333334
France,WWE,72,1765200.013888889
Russia,Новости 24/365,72,165018.63888888888
Mexico,TUDN México,72,956566.4583333334
Russia,TheRelizzz / Дата Выхода,72,45549.125
Mexico,El Privilegio de Mandar,72,49234.88888888889
France,atv,72,426430.06944444444
S Korea,보겸 TV,72,845768.375
Germany,Söz Dizi,72,1561876.138888889
Mexico,Voz BLuna,72,19705.23611111111
India,zeetamil,71,283895.95774647885
Russia,Comedy Club,71,2456209.7464788733
Russia,KINOKOS,71,175188.1690140845
India,FilterCopy,71,1097777.5633802817
Mexico,Exatlón,71,231486.2394366197
Russia,Трансформатор,71,322593.22535211267
Germany,Die Autodoktoren - offizieller Kanal,71,132349.97183098592
Canada,NewsOne Pk,71,182415.42253521126
Germany,REACT,70,631026.2428571428
Mexico,La Rosa de Guadalupe,70,310687.64285714284
Mexico,JV BR PB,70,102064.37142857142
Mexico,Dispara Margot Dispara,70,18487.014285714286
Russia,Дима Гордей,70,949603.0428571429
France,topvision1,70,16410.314285714285
Canada,Late Night with Seth Meyers,70,1370530.1857142858
Canada,Tasty,70,717831.7571428572
Canada,secureteam10,70,394603.5714285714
Canada,Cow Chop,70,191995.7
India,Shri Devkinandan Thakur Ji,70,42516.57142857143
S Korea,철구형 (CHULTUBE),70,385666.72857142857
Russia,RapNews,70,139800.5285714286
Mexico,Proximity,70,201041.3142857143
Canada,Comedy Central UK,70,281684.72857142857
Canada,TV Promos,70,172041.27142857143
France,CANAL+ Sport,69,182593.20289855072
Mexico,Pastor David Rodriguez,69,10819.231884057972
Russia,Room Factory,69,627192.6231884058
France,Fédération Française de Football,69,148339.30434782608
Canada,Rooster Teeth,69,363102.02898550726
France,SkyrockFM,69,346603.8695652174
Mexico,enchufetv,69,1378733.884057971
India,jaby koay,69,202556.53623188406
Canada,Rapid Highlights,69,420310.6376811594
Russia,Покашеварим,69,76707.21739130435
Canada,The King of Random,69,616991.0
Mexico,Carmen8a,69,16318.739130434782
USA,Saturday Night Live,69,3442131.3188405796
USA,Netflix,68,1293725.705882353
Canada,Troom Troom,68,2003280.3529411764
Russia,Яковлев Миша,68,241726.45588235295
France,Malak World - عالم ملاك,68,55034.80882352941
Russia,Дизель Студио,67,181476.58208955225
Russia,KINOFABRIKA,67,189043.10447761195
S Korea,입짧은햇님,67,146014.91044776118
S Korea,종합뉴스,67,87006.82089552238
India,Zee TV,67,1728455.0895522388
France,MLG Highlights,67,2042096.0447761193
Mexico,La Saga,67,82996.97014925373
Mexico,The Late Show with Stephen Colbert,67,1110736.014925373
Germany,Sturm der Liebe Official,67,47950.34328358209
Russia,OneTwo,67,834855.1791044776
Mexico,The Youman Show - EL CANAL DE LAS LOCURAS,67,127897.46268656716
France,Parents mode d'emploi,66,32231.257575757576
S Korea,크림히어로즈,66,230789.77272727274
France,Les Anges - La chaîne officielle,66,164527.57575757575
Canada,THIRU TV,66,168413.83333333334
Germany,NFL,66,2492241.712121212
India,Ditto TV,65,211005.47692307693
France,douja monde,65,9262.6
India,BehindwoodsTV,65,700703.8307692307
Mexico,Infortv,65,65818.67692307693
Japan,釣りよか飯,65,113456.73846153847
Japan,MAX鈴木 TV,65,72294.12307692308
Canada,Daily Dose Of Internet,65,946085.0615384616
France,EvenProd,65,143014.3076923077
USA,The Late Show with Stephen Colbert,65,844837.3538461538
Germany,Gesundheitsblatt,65,18811.046153846153
Germany,Deutschland sucht den Superstar,64,394823.078125
France,GameMixTreize,64,248486.375
France,Lexity,64,48093.921875
Germany,Varion,64,517287.296875
S Korea,Ripple_S,64,258534.328125
France,madmoiZelle,64,15088.703125
France,VDBUZZ,64,186265.703125
Germany,HerrNewstime,64,191512.484375
Germany,The Tonight Show Starring Jimmy Fallon,64,1812113.828125
France,broudge03,64,25278.453125
Mexico,LaLiga Santander,64,964563.96875
Canada,dmc دراما,64,639776.109375
France,Snapchat RED,64,92972.578125
India,NIROM मराठी,64,113507.546875
France,VPM.TV.AlflamMaghribia,63,167351.0
Canada,First We Feast,63,1290462.253968254
S Korea,YTN NEWS,63,203159.7619047619
India,RJ Raunac No-Po,63,808561.7777777778
Japan,Fischer's-フィッシャーズ-,63,1971307.634920635
Canada,CBC News,63,216182.2857142857
France,ÉlodieCréa,63,9610.84126984127
Germany,Brotatos,63,170818.39682539683
Germany,Comment Awards,63,428006.2698412698
Canada,Motion Station,63,142846.3492063492
Mexico,EL ALBOROTO DE LOS FAMOSOS,63,69258.52380952382
France,YouCook Cuisine,63,45897.730158730155
France,Quotidien,63,121193.85714285714
Germany,Itsin TV,63,39807.19047619047
S Korea,MBCNEWS,63,515990.95238095237
Mexico,Reto 4 Elementos,63,225304.2857142857
Mexico,NilcoBax Ω,63,198156.88888888888
Canada,Doug DeMuro,62,850737.5161290322
France,SQUEEZIE,62,4106264.1129032257
France,Dr Nozman,62,1102694.1129032257
France,Pikini Production,62,117988.08064516129
S Korea,매직텔러,62,78829.56451612903
Canada,CinemaSins,62,1175556.6129032257
Mexico,fejevi fejevi,62,61588.096774193546
S Korea,뉴스타운TV,62,56087.27419354839
Mexico,XpressTV,61,1498990.9016393442
India,Saregama TV Shows Tamil,61,1834013.5573770492
France,AFTER FOOT,61,14459.95081967213
Mexico,La Virgen de Guadalupe con Nosotros,61,133570.11475409835
Canada,Vat19,61,488851.868852459
Mexico,Padre Sergio,61,37525.16393442623
S Korea,BANGTANTV,61,5455691.721311475
Germany,Söylemezsem Olmaz,61,57040.19672131148
India,White Hill Music,61,4814075.147540984
Canada,HAR PAL GEO,61,474416.7213114754
France,Late Night with Seth Meyers,61,1168318.9344262294
Germany,PietSmiet,60,132645.45
UK,Jay's Virtual Pub Quiz,60,61148.23333333333
France,TrashTalkProduction,60,25290.25
Canada,GameGrumps,60,334354.9666666667
Canada,UFC - Ultimate Fighting Championship,60,1404573.3
Mexico,La Capital,60,1152638.5666666667
Canada,BuzzFeedBlue,60,1139726.9166666667
Mexico,Julio Astillero,60,22766.566666666666
India,Thanthi TV,60,391995.48333333334
Mexico,Telemundo,60,217588.16666666666
Germany,5-Minute Crafts,60,2361718.1166666667
India,Zee Music Company,60,6990567.233333333
Mexico,Televisa Deportes,60,165739.21666666667
France,Cauet,60,52515.46666666667
Canada,Reaction Time,60,548324.9666666667
Canada,感谢订阅中剧独播,59,55633.779661016946
Mexico,FOX Sports MX,59,734577.6779661017
S Korea,총몇명,59,879903.0847457628
Mexico,concienciaradio,59,206540.54237288135
France,BFMTV,59,110703.06779661016
Canada,Chris Smoove,59,402859.0169491525
France,cuisinerapide,59,17472.728813559323
Canada,Marques Brownlee,59,2266518.2711864407
Japan,TV Derana,59,316553.74576271186
